"ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
"Alert 1 Message","192.168.12.73",0,2693,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 2 Time","192.168.12.73",0,2713,4,"'0000000000000000","0"
"Alert 2 Type","192.168.12.73",0,2717,1,"'0000",0
"Alert 2 Message","192.168.12.73",0,2718,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 3 Time","192.168.12.73",0,2738,4,"'0000000000000000","0"
"Alert 3 Type","192.168.12.73",0,2742,1,"'0000",0
"Alert 3 Message","192.168.12.73",0,2743,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 4 Time","192.168.12.73",0,2763,4,"'0000000000000000","0"
"Alert 4 Type","192.168.12.73",0,2767,1,"'0000",0
"Alert 4 Message","192.168.12.73",0,2768,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 5 Time","192.168.12.73",0,2788,4,"'0000000000000000","0"
"Alert 5 Type","192.168.12.73",0,2792,1,"'0000",0
"Alert 5 Message","192.168.12.73",0,2793,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 6 Time","192.168.12.73",0,2813,4,"'0000000000000000","0"
"Alert 6 Type","192.168.12.73",0,2817,1,"'0000",0
"Alert 6 Message","192.168.12.73",0,2818,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 7 Time","192.168.12.73",0,2838,4,"'0000000000000000","0"
"Alert 7 Type","192.168.12.73",0,2842,1,"'0000",0
"Alert 7 Message","192.168.12.73",0,2843,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 8 Time","192.168.12.73",0,2863,4,"'0000000000000000","0"
"Alert 8 Type","192.168.12.73",0,2867,1,"'0000",0
"Alert 8 Message","192.168.12.73",0,2868,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Site Operational Mode","192.168.12.73",0,2888,1,"'0000",0
"Site Type","192.168.12.73",0,2889,1,"'0000",0
"Stow Logic","192.168.12.73",0,2890,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"Position: 6 | DeviceType: ","","","","","",""
"====================================================================================================","","","","","",""
"System ID","192.168.12.73",0,3072,3,"'000000000000",""
"Site Name","192.168.12.73",0,3075,10,"'0000000000000000000000000000000000000000",""
"Organization","192.168.12.73",0,3085,10,"'0000000000000000000000000000000000000000",""
"Contact","192.168.12.73",0,3095,10,"'0000000000000000000000000000000000000000",""
"System Uptime","192.168.12.73",0,3105,4,"'0000000000000000","0"
"SW Version","192.168.12.73",0,3109,8,"'00000000000000000000000000000000",""
"Has WX","192.168.12.73",0,3117,1,"'0000",0
"E-Stop Active","192.168.12.73",0,3118,1,"'0000",0
"Tracking Enabled","192.168.12.73",0,3119,1,"'0000",0
"Backtracking Enabled","192.168.12.73",0,3120,1,"'0000",0
"Panel Angle","192.168.12.73",0,3121,2,"'00000000",0
"Tracking State","192.168.12.73",0,3123,1,"'0000",0
"Unit Temp","192.168.12.73",0,3124,2,"'00000000",0
"Battery Voltage","192.168.12.73",0,3126,2,"'00000000",0
"Battery Current","192.168.12.73",0,3128,2,"'00000000",0
"Battery Charged","192.168.12.73",0,3130,1,"'0000",0
"Battery Health","192.168.12.73",0,3131,1,"'0000",0
"Charger Voltage","192.168.12.73",0,3132,2,"'00000000",0
"Charger Current","192.168.12.73",0,3134,2,"'00000000",0
"Solar Voltage","192.168.12.73",0,3136,2,"'00000000",0
"Solar Current","192.168.12.73",0,3138,2,"'00000000",0
"Total Assets","192.168.12.73",0,3140,1,"'0000",0
"Assets Reporting","192.168.12.73",0,3141,1,"'0000",0
"Poll Response Time","192.168.12.73",0,3142,4,"'0000000000000000","0"
"Bridge Addr","192.168.12.73",0,3146,2,"'00000000",0
"Bridge Script CRC","192.168.12.73",0,3148,1,"'0000",0
"Bridge Channel","192.168.12.73",0,3149,1,"'0000",0
"Bridge NET_ID","192.168.12.73",0,3150,1,"'0000",0
"GPS Fix Acquired","192.168.12.73",0,3151,1,"'0000",0
"GPS Fix Time","192.168.12.73",0,3152,4,"'0000000000000000","0"
"Satellites","192.168.12.73",0,3156,1,"'0000",0
"Latitude","192.168.12.73",0,3157,2,"'00000000",0
"Longitude","192.168.12.73",0,3159,2,"'00000000",0
"PPP Up","192.168.12.73",0,3161,1,"'0000",0
"RSSI","192.168.12.73",0,3162,1,"'0000",0
"WAN IP","192.168.12.73",0,3163,8,"'00000000000000000000000000000000",""
"LAN IP","192.168.12.73",0,3171,8,"'00000000000000000000000000000000",""
"Modem Uptime","192.168.12.73",0,3179,2,"'00000000",0
"NTP Sync","192.168.12.73",0,3181,1,"'0000",0
"NTP Server","192.168.12.73",0,3182,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"NTP Offset","192.168.12.73",0,3198,2,"'00000000",0
"Alert 1 Time","192.168.12.73",0,3200,4,"'0000000000000000","0"
"Alert 1 Type","192.168.12.73",0,3204,1,"'0000",0
"Alert 1 Message","192.168.12.73",0,3205,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 2 Time","192.168.12.73",0,3225,4,"'0000000000000000","0"
"Alert 2 Type","192.168.12.73",0,3229,1,"'0000",0
"Alert 2 Message","192.168.12.73",0,3230,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 3 Time","192.168.12.73",0,3250,4,"'0000000000000000","0"
"Alert 3 Type","192.168.12.73",0,3254,1,"'0000",0
"Alert 3 Message","192.168.12.73",0,3255,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 4 Time","192.168.12.73",0,3275,4,"'0000000000000000","0"
"Alert 4 Type","192.168.12.73",0,3279,1,"'0000",0
"Alert 4 Message","192.168.12.73",0,3280,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 5 Time","192.168.12.73",0,3300,4,"'0000000000000000","0"
"Alert 5 Type","192.168.12.73",0,3304,1,"'0000",0
"Alert 5 Message","192.168.12.73",0,3305,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 6 Time","192.168.12.73",0,3325,4,"'0000000000000000","0"
"Alert 6 Type","192.168.12.73",0,3329,1,"'0000",0
"Alert 6 Message","192.168.12.73",0,3330,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 7 Time","192.168.12.73",0,3350,4,"'0000000000000000","0"
"Alert 7 Type","192.168.12.73",0,3354,1,"'0000",0
"Alert 7 Message","192.168.12.73",0,3355,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 8 Time","192.168.12.73",0,3375,4,"'0000000000000000","0"
"Alert 8 Type","192.168.12.73",0,3379,1,"'0000",0
"Alert 8 Message","192.168.12.73",0,3380,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Site Operational Mode","192.168.12.73",0,3400,1,"'0000",0
"Site Type","192.168.12.73",0,3401,1,"'0000",0
"Stow Logic","192.168.12.73",0,3402,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"Position: 7 | DeviceType: ","","","","","",""
"====================================================================================================","","","","","",""
"System ID","192.168.12.73",0,3584,3,"'000000000000",""
"Site Name","192.168.12.73",0,3587,10,"'0000000000000000000000000000000000000000",""
"Organization","192.168.12.73",0,3597,10,"'0000000000000000000000000000000000000000",""
"Contact","192.168.12.73",0,3607,10,"'0000000000000000000000000000000000000000",""
"System Uptime","192.168.12.73",0,3617,4,"'0000000000000000","0"
"SW Version","192.168.12.73",0,3621,8,"'00000000000000000000000000000000",""
"Has WX","192.168.12.73",0,3629,1,"'0000",0
"E-Stop Active","192.168.12.73",0,3630,1,"'0000",0
"Tracking Enabled","192.168.12.73",0,3631,1,"'0000",0
"Backtracking Enabled","192.168.12.73",0,3632,1,"'0000",0
"Panel Angle","192.168.12.73",0,3633,2,"'00000000",0
"Tracking State","192.168.12.73",0,3635,1,"'0000",0
"Unit Temp","192.168.12.73",0,3636,2,"'00000000",0
"Battery Voltage","192.168.12.73",0,3638,2,"'00000000",0
"Battery Current","192.168.12.73",0,3640,2,"'00000000",0
"Battery Charged","192.168.12.73",0,3642,1,"'0000",0
"Battery Health","192.168.12.73",0,3643,1,"'0000",0
"Charger Voltage","192.168.12.73",0,3644,2,"'00000000",0
"Charger Current","192.168.12.73",0,3646,2,"'00000000",0
"Solar Voltage","192.168.12.73",0,3648,2,"'00000000",0
"Solar Current","192.168.12.73",0,3650,2,"'00000000",0
"Total Assets","192.168.12.73",0,3652,1,"'0000",0
"Assets Reporting","192.168.12.73",0,3653,1,"'0000",0
"Poll Response Time","192.168.12.73",0,3654,4,"'0000000000000000","0"
"Bridge Addr","192.168.12.73",0,3658,2,"'00000000",0
"Bridge Script CRC","192.168.12.73",0,3660,1,"'0000",0
"Bridge Channel","192.168.12.73",0,3661,1,"'0000",0
"Bridge NET_ID","192.168.12.73",0,3662,1,"'0000",0
"GPS Fix Acquired","192.168.12.73",0,3663,1,"'0000",0
"GPS Fix Time","192.168.12.73",0,3664,4,"'0000000000000000","0"
"Satellites","192.168.12.73",0,3668,1,"'0000",0
"Latitude","192.168.12.73",0,3669,2,"'00000000",0
"Longitude","192.168.12.73",0,3671,2,"'00000000",0
"PPP Up","192.168.12.73",0,3673,1,"'0000",0
"RSSI","192.168.12.73",0,3674,1,"'0000",0
"WAN IP","192.168.12.73",0,3675,8,"'00000000000000000000000000000000",""
"LAN IP","192.168.12.73",0,3683,8,"'00000000000000000000000000000000",""
"Modem Uptime","192.168.12.73",0,3691,2,"'00000000",0
"NTP Sync","192.168.12.73",0,3693,1,"'0000",0
"NTP Server","192.168.12.73",0,3694,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"NTP Offset","192.168.12.73",0,3710,2,"'00000000",0
"Alert 1 Time","192.168.12.73",0,3712,4,"'0000000000000000","0"
"Alert 1 Type","192.168.12.73",0,3716,1,"'0000",0
"Alert 1 Message","192.168.12.73",0,3717,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 2 Time","192.168.12.73",0,3737,4,"'0000000000000000","0"
"Alert 2 Type","192.168.12.73",0,3741,1,"'0000",0
"Alert 2 Message","192.168.12.73",0,3742,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 3 Time","192.168.12.73",0,3762,4,"'0000000000000000","0"
"Alert 3 Type","192.168.12.73",0,3766,1,"'0000",0
"Alert 3 Message","192.168.12.73",0,3767,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 4 Time","192.168.12.73",0,3787,4,"'0000000000000000","0"
"Alert 4 Type","192.168.12.73",0,3791,1,"'0000",0
"Alert 4 Message","192.168.12.73",0,3792,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 5 Time","192.168.12.73",0,3812,4,"'0000000000000000","0"
"Alert 5 Type","192.168.12.73",0,3816,1,"'0000",0
"Alert 5 Message","192.168.12.73",0,3817,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 6 Time","192.168.12.73",0,3837,4,"'0000000000000000","0"
"Alert 6 Type","192.168.12.73",0,3841,1,"'0000",0
"Alert 6 Message","192.168.12.73",0,3842,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 7 Time","192.168.12.73",0,3862,4,"'0000000000000000","0"
"Alert 7 Type","192.168.12.73",0,3866,1,"'0000",0
"Alert 7 Message","192.168.12.73",0,3867,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 8 Time","192.168.12.73",0,3887,4,"'0000000000000000","0"
"Alert 8 Type","192.168.12.73",0,3891,1,"'0000",0
"Alert 8 Message","192.168.12.73",0,3892,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Site Operational Mode","192.168.12.73",0,3912,1,"'0000",0
"Site Type","192.168.12.73",0,3913,1,"'0000",0
"Stow Logic","192.168.12.73",0,3914,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"Position: 8 | DeviceType: ","","","","","",""
"====================================================================================================","","","","","",""
"System ID","192.168.12.73",0,4096,3,"'000000000000",""
"Site Name","192.168.12.73",0,4099,10,"'0000000000000000000000000000000000000000",""
"Organization","192.168.12.73",0,4109,10,"'0000000000000000000000000000000000000000",""
"Contact","192.168.12.73",0,4119,10,"'0000000000000000000000000000000000000000",""
"System Uptime","192.168.12.73",0,4129,4,"'0000000000000000","0"
"SW Version","192.168.12.73",0,4133,8,"'00000000000000000000000000000000",""
"Has WX","192.168.12.73",0,4141,1,"'0000",0
"E-Stop Active","192.168.12.73",0,4142,1,"'0000",0
"Tracking Enabled","192.168.12.73",0,4143,1,"'0000",0
"Backtracking Enabled","192.168.12.73",0,4144,1,"'0000",0
"Panel Angle","192.168.12.73",0,4145,2,"'00000000",0
"Tracking State","192.168.12.73",0,4147,1,"'0000",0
"Unit Temp","192.168.12.73",0,4148,2,"'00000000",0
"Battery Voltage","192.168.12.73",0,4150,2,"'00000000",0
"Battery Current","192.168.12.73",0,4152,2,"'00000000",0
"Battery Charged","192.168.12.73",0,4154,1,"'0000",0
"Battery Health","192.168.12.73",0,4155,1,"'0000",0
"Charger Voltage","192.168.12.73",0,4156,2,"'00000000",0
"Charger Current","192.168.12.73",0,4158,2,"'00000000",0
"Solar Voltage","192.168.12.73",0,4160,2,"'00000000",0
"Solar Current","192.168.12.73",0,4162,2,"'00000000",0
"Total Assets","192.168.12.73",0,4164,1,"'0000",0
"Assets Reporting","192.168.12.73",0,4165,1,"'0000",0
"Poll Response Time","192.168.12.73",0,4166,4,"'0000000000000000","0"
"Bridge Addr","192.168.12.73",0,4170,2,"'00000000",0
"Bridge Script CRC","192.168.12.73",0,4172,1,"'0000",0
"Bridge Channel","192.168.12.73",0,4173,1,"'0000",0
"Bridge NET_ID","192.168.12.73",0,4174,1,"'0000",0
"GPS Fix Acquired","192.168.12.73",0,4175,1,"'0000",0
"GPS Fix Time","192.168.12.73",0,4176,4,"'0000000000000000","0"
"Satellites","192.168.12.73",0,4180,1,"'0000",0
"Latitude","192.168.12.73",0,4181,2,"'00000000",0
"Longitude","192.168.12.73",0,4183,2,"'00000000",0
"PPP Up","192.168.12.73",0,4185,1,"'0000",0
"RSSI","192.168.12.73",0,4186,1,"'0000",0
"WAN IP","192.168.12.73",0,4187,8,"'00000000000000000000000000000000",""
"LAN IP","192.168.12.73",0,4195,8,"'00000000000000000000000000000000",""
"Modem Uptime","192.168.12.73",0,4203,2,"'00000000",0
"NTP Sync","192.168.12.73",0,4205,1,"'0000",0
"NTP Server","192.168.12.73",0,4206,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"NTP Offset","192.168.12.73",0,4222,2,"'00000000",0
"Alert 1 Time","192.168.12.73",0,4224,4,"'0000000000000000","0"
"Alert 1 Type","192.168.12.73",0,4228,1,"'0000",0
"Alert 1 Message","192.168.12.73",0,4229,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 2 Time","192.168.12.73",0,4249,4,"'0000000000000000","0"
"Alert 2 Type","192.168.12.73",0,4253,1,"'0000",0
"Alert 2 Message","192.168.12.73",0,4254,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 3 Time","192.168.12.73",0,4274,4,"'0000000000000000","0"
"Alert 3 Type","192.168.12.73",0,4278,1,"'0000",0
"Alert 3 Message","192.168.12.73",0,4279,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 4 Time","192.168.12.73",0,4299,4,"'0000000000000000","0"
"Alert 4 Type","192.168.12.73",0,4303,1,"'0000",0
"Alert 4 Message","192.168.12.73",0,4304,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 5 Time","192.168.12.73",0,4324,4,"'0000000000000000","0"
"Alert 5 Type","192.168.12.73",0,4328,1,"'0000",0
"Alert 5 Message","192.168.12.73",0,4329,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 6 Time","192.168.12.73",0,4349,4,"'0000000000000000","0"
"Alert 6 Type","192.168.12.73",0,4353,1,"'0000",0
"Alert 6 Message","192.168.12.73",0,4354,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 7 Time","192.168.12.73",0,4374,4,"'0000000000000000","0"
"Alert 7 Type","192.168.12.73",0,4378,1,"'0000",0
"Alert 7 Message","192.168.12.73",0,4379,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 8 Time","192.168.12.73",0,4399,4,"'0000000000000000","0"
"Alert 8 Type","192.168.12.73",0,4403,1,"'0000",0
"Alert 8 Message","192.168.12.73",0,4404,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Site Operational Mode","192.168.12.73",0,4424,1,"'0000",0
"Site Type","192.168.12.73",0,4425,1,"'0000",0
"Stow Logic","192.168.12.73",0,4426,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"Position: 9 | DeviceType: ","","","","","",""
"====================================================================================================","","","","","",""
"System ID","192.168.12.73",0,4608,3,"'000000000000",""
"Site Name","192.168.12.73",0,4611,10,"'0000000000000000000000000000000000000000",""
"Organization","192.168.12.73",0,4621,10,"'0000000000000000000000000000000000000000",""
"Contact","192.168.12.73",0,4631,10,"'0000000000000000000000000000000000000000",""
"System Uptime","192.168.12.73",0,4641,4,"'0000000000000000","0"
"SW Version","192.168.12.73",0,4645,8,"'00000000000000000000000000000000",""
"Has WX","192.168.12.73",0,4653,1,"'0000",0
"E-Stop Active","192.168.12.73",0,4654,1,"'0000",0
"Tracking Enabled","192.168.12.73",0,4655,1,"'0000",0
"Backtracking Enabled","192.168.12.73",0,4656,1,"'0000",0
"Panel Angle","192.168.12.73",0,4657,2,"'00000000",0
"Tracking State","192.168.12.73",0,4659,1,"'0000",0
"Unit Temp","192.168.12.73",0,4660,2,"'00000000",0
"Battery Voltage","192.168.12.73",0,4662,2,"'00000000",0
"Battery Current","192.168.12.73",0,4664,2,"'00000000",0
"Battery Charged","192.168.12.73",0,4666,1,"'0000",0
"Battery Health","192.168.12.73",0,4667,1,"'0000",0
"Charger Voltage","192.168.12.73",0,4668,2,"'00000000",0
"Charger Current","192.168.12.73",0,4670,2,"'00000000",0
"Solar Voltage","192.168.12.73",0,4672,2,"'00000000",0
"Solar Current","192.168.12.73",0,4674,2,"'00000000",0
"Total Assets","192.168.12.73",0,4676,1,"'0000",0
"Assets Reporting","192.168.12.73",0,4677,1,"'0000",0
"Poll Response Time","192.168.12.73",0,4678,4,"'0000000000000000","0"
"Bridge Addr","192.168.12.73",0,4682,2,"'00000000",0
"Bridge Script CRC","192.168.12.73",0,4684,1,"'0000",0
"Bridge Channel","192.168.12.73",0,4685,1,"'0000",0
"Bridge NET_ID","192.168.12.73",0,4686,1,"'0000",0
"GPS Fix Acquired","192.168.12.73",0,4687,1,"'0000",0
"GPS Fix Time","192.168.12.73",0,4688,4,"'0000000000000000","0"
"Satellites","192.168.12.73",0,4692,1,"'0000",0
"Latitude","192.168.12.73",0,4693,2,"'00000000",0
"Longitude","192.168.12.73",0,4695,2,"'00000000",0
"PPP Up","192.168.12.73",0,4697,1,"'0000",0
"RSSI","192.168.12.73",0,4698,1,"'0000",0
"WAN IP","192.168.12.73",0,4699,8,"'00000000000000000000000000000000",""
"LAN IP","192.168.12.73",0,4707,8,"'00000000000000000000000000000000",""
"Modem Uptime","192.168.12.73",0,4715,2,"'00000000",0
"NTP Sync","192.168.12.73",0,4717,1,"'0000",0
"NTP Server","192.168.12.73",0,4718,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"NTP Offset","192.168.12.73",0,4734,2,"'00000000",0
"Alert 1 Time","192.168.12.73",0,4736,4,"'0000000000000000","0"
"Alert 1 Type","192.168.12.73",0,4740,1,"'0000",0
"Alert 1 Message","192.168.12.73",0,4741,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 2 Time","192.168.12.73",0,4761,4,"'0000000000000000","0"
"Alert 2 Type","192.168.12.73",0,4765,1,"'0000",0
"Alert 2 Message","192.168.12.73",0,4766,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 3 Time","192.168.12.73",0,4786,4,"'0000000000000000","0"
"Alert 3 Type","192.168.12.73",0,4790,1,"'0000",0
"Alert 3 Message","192.168.12.73",0,4791,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 4 Time","192.168.12.73",0,4811,4,"'0000000000000000","0"
"Alert 4 Type","192.168.12.73",0,4815,1,"'0000",0
"Alert 4 Message","192.168.12.73",0,4816,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 5 Time","192.168.12.73",0,4836,4,"'0000000000000000","0"
"Alert 5 Type","192.168.12.73",0,4840,1,"'0000",0
"Alert 5 Message","192.168.12.73",0,4841,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 6 Time","192.168.12.73",0,4861,4,"'0000000000000000","0"
"Alert 6 Type","192.168.12.73",0,4865,1,"'0000",0
"Alert 6 Message","192.168.12.73",0,4866,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 7 Time","192.168.12.73",0,4886,4,"'0000000000000000","0"
"Alert 7 Type","192.168.12.73",0,4890,1,"'0000",0
"Alert 7 Message","192.168.12.73",0,4891,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 8 Time","192.168.12.73",0,4911,4,"'0000000000000000","0"
"Alert 8 Type","192.168.12.73",0,4915,1,"'0000",0
"Alert 8 Message","192.168.12.73",0,4916,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Site Operational Mode","192.168.12.73",0,4936,1,"'0000",0
"Site Type","192.168.12.73",0,4937,1,"'0000",0
"Stow Logic","192.168.12.73",0,4938,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
